time,delta_L2,max_u,mean_u
0.01,0.2806828941569914,0.16276929461013087,0.5009689249840863
0.02,0.043945950270470366,0.06453626515213179,0.22522176284423576
0.03,0.016199688315019684,0.03405225733059029,0.11946544611434329
0.04,0.006619299442823066,0.021681722387069693,0.07628537840760499
0.05,0.0028100415203192995,0.016339798045314012,0.058023805546356985
0.06,0.0012128310756646598,0.014003957306114074,0.050163265095550025
0.07,0.0005272356804902734,0.012981134303372168,0.04675130986340856
0.08,0.00022991309378522854,0.01253349267373883,0.04526457707726184
0.09,0.00010039510000096983,0.01233768981726476,0.04461560793851826
0.1,4.3857414893448485e-05,0.01225209538228823,0.044332149296641365
